Pop,Theta,samplingSize,n.seg.sites
3,twenty,4,74
3,twenty,4,70
3,twenty,4,68
3,twenty,4,12
3,twenty,4,68
3,twenty,4,62
3,twenty,4,61
3,twenty,4,7
3,twenty,4,66
3,twenty,4,72
3,twenty,4,68
3,twenty,4,76
3,twenty,4,72
3,twenty,4,68
3,twenty,4,67
3,twenty,4,63
3,twenty,4,8
3,twenty,4,69
3,twenty,4,13
3,twenty,4,63
3,twenty,4,74
3,twenty,4,62
3,twenty,4,74
3,twenty,4,80
3,twenty,4,16
3,twenty,4,22
3,twenty,4,68
3,twenty,4,67
3,twenty,4,19
3,twenty,4,63
3,twenty,4,29
3,twenty,4,62
3,twenty,4,83
3,twenty,4,66
3,twenty,4,66
3,twenty,4,64
3,twenty,4,62
3,twenty,4,4
3,twenty,4,70
3,twenty,4,16
3,twenty,4,60
3,twenty,4,65
3,twenty,4,65
3,twenty,4,72
3,twenty,4,69
3,twenty,4,68
3,twenty,4,75
3,twenty,4,21
3,twenty,4,19
3,twenty,4,67
3,twenty,4,77
3,twenty,4,64
3,twenty,4,16
3,twenty,4,17
3,twenty,4,72
3,twenty,4,67
3,twenty,4,70
3,twenty,4,64
3,twenty,4,73
3,twenty,4,68
3,twenty,4,13
3,twenty,4,22
3,twenty,4,17
3,twenty,4,78
3,twenty,4,14
3,twenty,4,61
3,twenty,4,65
3,twenty,4,77
3,twenty,4,1
3,twenty,4,71
3,twenty,4,66
3,twenty,4,70
3,twenty,4,3
3,twenty,4,70
3,twenty,4,18
3,twenty,4,14
3,twenty,4,20
3,twenty,4,63
3,twenty,4,65
